Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
144,NA,NA,0.1775
146,NA,NA,0.189
182,NA,NA,0.197
183,NA,NA,0.1375
186,NA,NA,0.1305
193,NA,NA,0.1225
194,NA,NA,0.1305
195,NA,NA,0.214
201,NA,NA,0.151
203,NA,NA,0.1135
204,NA,NA,0.1405
218,NA,NA,0.1175
223,NA,NA,0.1015
236,NA,NA,0.134
247,NA,NA,0.145
252,NA,NA,0.221
255,2.256137066,0.353365481,0.3415
258,NA,NA,0.097
267,NA,NA,0.1485
270,NA,NA,0.1265
281,NA,NA,0.088
282,NA,NA,0.16
283,NA,NA,0.1
286,NA,NA,0.089
288,NA,NA,0.0885
299,NA,NA,0.076
335,NA,NA,0.064
336,NA,NA,0.053
337,NA,NA,0.0565
340,NA,NA,0.065
344,NA,NA,0.0755
Negative,NA,NA,0.074
Blank_Use,NA,NA,0.0755
2x Blank,NA,NA,0.151
