"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"98",248,"Mouse","GP",NA,28.2033597233333,FALSE
"99",253,"Mouse","GP",NA,28.2033597233333,FALSE
"100",254,"Mouse","GP",NA,28.2033597233333,FALSE
"101",257,"Mouse","GP",NA,28.2033597233333,FALSE
"102",259,"Mouse","GP",5.621033221,28.2033597233333,FALSE
"103",260,"Mouse","GP",NA,28.2033597233333,FALSE
"104",261,"Mouse","GP",NA,28.2033597233333,FALSE
"105",262,"Mouse","GP",2.413120003,28.2033597233333,FALSE
"106",263,"Mouse","GP",NA,28.2033597233333,FALSE
"107",264,"Mouse","GP",NA,28.2033597233333,FALSE
"108",265,"Mouse","GP",1.766809274,28.2033597233333,FALSE
"109",266,"Mouse","GP",11.0300318,28.2033597233333,FALSE
"110",268,"Mouse","GP",NA,28.2033597233333,FALSE
"111",269,"Mouse","GP",NA,28.2033597233333,FALSE
"112",271,"Mouse","GP",NA,28.2033597233333,FALSE
"113",272,"Mouse","GP",18.14041807,28.2033597233333,FALSE
"114",275,"Mouse","GP",NA,28.2033597233333,FALSE
"115",276,"Mouse","GP",NA,28.2033597233333,FALSE
"116",277,"Mouse","GP",1.069390165,28.2033597233333,FALSE
"117",278,"Mouse","GP",1529.023791,28.2033597233333,TRUE
"118",279,"Mouse","GP",378.4494466,28.2033597233333,TRUE
"119",280,"Mouse","GP",NA,28.2033597233333,FALSE
"120",284,"Mouse","GP",NA,28.2033597233333,FALSE
"121",285,"Mouse","GP",7.632716522,28.2033597233333,FALSE
"122",287,"Mouse","GP",NA,28.2033597233333,FALSE
"123",289,"Mouse","GP",1.700406218,28.2033597233333,FALSE
"124",291,"Mouse","GP",NA,28.2033597233333,FALSE
"125",292,"Mouse","GP",NA,28.2033597233333,FALSE
"126",293,"Mouse","GP",NA,28.2033597233333,FALSE
"127",294,"Mouse","GP",NA,28.2033597233333,FALSE
"128",296,"Mouse","GP",21.7504616,28.2033597233333,FALSE
"129",298,"Mouse","GP",10.37763875,28.2033597233333,FALSE
"130",300,"Mouse","GP",2.318932482,28.2033597233333,FALSE
"131",301,"Mouse","GP",355.8433578,28.2033597233333,TRUE
"132",302,"Mouse","GP",3.478745773,28.2033597233333,FALSE
"133",303,"Mouse","GP",3.895302964,28.2033597233333,FALSE
"134",305,"Mouse","GP",2.909114457,28.2033597233333,FALSE
"135",307,"Mouse","GP",5.494053348,28.2033597233333,FALSE
"136",308,"Mouse","GP",6.7662045,28.2033597233333,FALSE
"137",310,"Mouse","GP",NA,28.2033597233333,FALSE
"138",312,"Mouse","GP",NA,28.2033597233333,FALSE
"139",314,"Mouse","GP",NA,28.2033597233333,FALSE
"140",324,"Mouse","GP",NA,28.2033597233333,FALSE
"141",326,"Mouse","GP",NA,28.2033597233333,FALSE
"142",327,"Mouse","GP",NA,28.2033597233333,FALSE
"143",328,"Mouse","GP",16.43234812,28.2033597233333,FALSE
"144",329,"Mouse","GP",18.90455528,28.2033597233333,FALSE
"145",330,"Mouse","GP",NA,28.2033597233333,FALSE
"146",331,"Mouse","GP",NA,28.2033597233333,FALSE
"147",332,"Mouse","GP",NA,28.2033597233333,FALSE
"148",342,"Mouse","GP",15.23110758,28.2033597233333,FALSE
"149",347,"Mouse","GP",1.208922312,28.2033597233333,FALSE
"150",348,"Mouse","GP",NA,28.2033597233333,FALSE
"151",352,"Mouse","GP",NA,28.2033597233333,FALSE
"152",353,"Mouse","GP",6.389183595,28.2033597233333,FALSE
"153",360,"Mouse","GP",NA,28.2033597233333,FALSE
"154",361,"Mouse","GP",13.45781174,28.2033597233333,FALSE
"155",362,"Mouse","GP",6.149685637,28.2033597233333,FALSE
"156",363,"Mouse","GP",NA,28.2033597233333,FALSE
"157",365,"Mouse","GP",5.895095459,28.2033597233333,FALSE
"158",370,"Mouse","GP",28.97266128,28.2033597233333,TRUE
"159",373,"Mouse","GP",NA,28.2033597233333,FALSE
"160",375,"Mouse","GP",NA,28.2033597233333,FALSE
"161",379,"Mouse","GP",NA,28.2033597233333,FALSE
"162",380,"Mouse","GP",NA,28.2033597233333,FALSE
"163",382,"Mouse","GP",NA,28.2033597233333,FALSE
"164",387,"Mouse","GP",NA,28.2033597233333,FALSE
"165",389,"Mouse","GP",11.82923177,28.2033597233333,FALSE
"166",390,"Mouse","GP",NA,28.2033597233333,FALSE
"167",397,"Mouse","GP",134.7653411,28.2033597233333,TRUE
"168",398,"Mouse","GP",NA,28.2033597233333,FALSE
"169",401,"Mouse","GP",NA,28.2033597233333,FALSE
"170",402,"Mouse","GP",NA,28.2033597233333,FALSE
"171",403,"Mouse","GP",5.377490348,28.2033597233333,FALSE
"172",404,"Mouse","GP",NA,28.2033597233333,FALSE
"173",406,"Mouse","GP",NA,28.2033597233333,FALSE
"174",407,"Mouse","GP",NA,28.2033597233333,FALSE
"175",415,"Mouse","GP",NA,28.2033597233333,FALSE
"176",422,"Mouse","GP",NA,28.2033597233333,FALSE
"177",424,"Mouse","GP",NA,28.2033597233333,FALSE
"178",426,"Mouse","GP",3.738836229,28.2033597233333,FALSE
"179",427,"Mouse","GP",19.47377424,28.2033597233333,FALSE
"180",429,"Mouse","GP",7.507857663,28.2033597233333,FALSE
"181",430,"Mouse","GP",249.5531121,28.2033597233333,TRUE
"182",431,"Mouse","GP",NA,28.2033597233333,FALSE
"183",432,"Mouse","GP",NA,28.2033597233333,FALSE
"184",433,"Mouse","GP",23.47298938,28.2033597233333,FALSE
"185",434,"Mouse","GP",NA,28.2033597233333,FALSE
"186",435,"Mouse","GP",699.2517464,28.2033597233333,TRUE
"187",436,"Mouse","GP",8.692282629,28.2033597233333,FALSE
"188",438,"Mouse","GP",6.401707926,28.2033597233333,FALSE
"189",439,"Mouse","GP",365.4757108,28.2033597233333,TRUE
