Animal_ID,Species_ab,Protein,U_mL
468,Mouse,GP,NA
469,Mouse,GP,15.74258538
470,Mouse,GP,NA
471,Mouse,GP,NA
472,Mouse,GP,NA
473,Mouse,GP,NA
474,Mouse,GP,14.69351105
476,Mouse,GP,10.25215245
477,Mouse,GP,9.421013651
478,Mouse,GP,4.83209893
479,Mouse,GP,156.2290572
485,Mouse,GP,NA
498,Mouse,GP,NA
499,Mouse,GP,10.48599603
509,Mouse,GP,21.41523007
512,Mouse,GP,11.97170164
528,Mouse,GP,15.32532854
529,Mouse,GP,14.37478901
531,Mouse,GP,4.978270555
532,Mouse,GP,NA
209,Mouse,GP,11.1787435
8,Mouse,NP,4.493654729
17,Mouse,NP,20.32359484
18,Mouse,NP,1854.070697
19,Mouse,NP,807.6331611
23,Mouse,NP,20.32359484
27,Mouse,NP,NA
30,Mouse,NP,367.2341016
31,Mouse,NP,17.46547079
32,Mouse,NP,18.18048757
38,Mouse,NP,NA
39,Mouse,NP,NA
43,Mouse,NP,7.884218561
51,Mouse,NP,21.51309126
57,Mouse,NP,261.027339
58,Mouse,NP,415.4884126
63,Mouse,NP,1373.98179
66,Mouse,NP,2.290810266
67,Mouse,NP,NA
68,Mouse,NP,244.5941668
70,Mouse,NP,NA
79,Mouse,NP,11.49024835
101,Mouse,NP,NA
103,Mouse,NP,342.7608371
104,Mouse,NP,9.810016391
105,Mouse,NP,NA
106,Mouse,NP,11.96961879
107,Mouse,NP,NA
109,Mouse,NP,NA
110,Mouse,NP,3.762167122
112,Mouse,NP,NA
113,Mouse,NP,157.3846338
114,Mouse,NP,4.006253701
115,Mouse,NP,NA
116,Mouse,NP,NA
118,Mouse,NP,4.493654729
125,Mouse,NP,8.366303641
127,Mouse,NP,NA
128,Mouse,NP,7.642999451
131,Mouse,NP,168.2829759
134,Mouse,NP,23.17722417
135,Mouse,NP,8.512676295
140,Mouse,NP,2.48344835
141,Mouse,NP,6.065957908
147,Mouse,NP,2.48344835
148,Mouse,NP,1.302603673
151,Mouse,NP,1.826852138
152,Mouse,NP,9.173929558
153,Mouse,NP,8.776378301
155,Mouse,NP,6.8264500870000004
157,Mouse,NP,3.747270657
158,Mouse,NP,10.92271575
159,Mouse,NP,9.041149841
160,Mouse,NP,7.082560822
161,Mouse,NP,380.6119051
162,Mouse,NP,12.71020194
163,Mouse,NP,16.24242684
164,Mouse,NP,19.58783138
165,Mouse,NP,10.38029197
168,Mouse,NP,5.318055129
170,Mouse,NP,5.565884665
171,Mouse,NP,8.250067614
172,Mouse,NP,5.940402239
173,Mouse,NP,3.27982139
