Animal_ID,Date,Season,Village,House,Trap,Lat_Convert,Long_Convert(W),Long_Use,Genus_og,Genus_Cytb,Cytb_species,Sex,Age_wt,Weight_g,Length_mm,Tail_mm,Ear_mm,Right_foot_mm,Lactating,Embryos_num,Embryo_length_mm,F_reproduction,Ag_RDT,RDT_Score,U_mL_GP,Positive_GP,U_mL_NP,Positive_NP,IgG_Positive,Positive_AVL,Mean_conc_AVL,Stdev_conc_AVL,Positive_Liver,Mean_conc_Liver,Stdev_conc_Liver,Positive_Lung,Mean_conc_Lung,Stdev_conc_Lung,Positive_Kidney,Mean_conc_Kidney,Stdev_conc_Kidney,Positive_Spleen,Mean_conc_Spleen,Stdev_conc_Spleen,qPCR_Positive
17,9-Nov-18,Dry,Kptema,32,932,8.27375,11.07435,-11.07435,Mastomys,Mastomys,Mastomys natalensis,F,Sub_adult,28.7,221,98,16,24,FALSE,NA,NA,FALSE,TRUE,4,12.88341988,FALSE,20.32359484,FALSE,FALSE,NA,NA,NA,TRUE,138869.8302,1107.679323,TRUE,863948.1153,64586.43353,TRUE,2195067.243,154970.9216,TRUE,148182.3374,8620.930871,TRUE
18,9-Nov-18,Dry,Kptema,28,802,8.27375,11.07435,-11.07435,Mastomys,Mastomys,Mastomys natalensis,M,Adult,51.5,201,114,17,23,NA,NA,NA,NA,TRUE,4,1036.323668,TRUE,1854.070697,TRUE,TRUE,NA,NA,NA,NA,NA,NA,FALSE,12.70421426,0.536332124,FALSE,70.14527272,0.696622343,FALSE,24.51069273,5.596663353,FALSE
19,9-Nov-18,Dry,Kptema,31,994,8.27375,11.07435,-11.07435,Mastomys,Mastomys,Mastomys natalensis,M,Sub_adult,30.4,215,96,18,24,NA,NA,NA,NA,TRUE,4,128.4245495,TRUE,807.6331611,TRUE,TRUE,NA,NA,NA,FALSE,18.68959261,0.938114067,FALSE,36.76019714,10.79445333,FALSE,41.66433808,0.254056887,FALSE,1.593136937,1.372994117,FALSE
20,9-Nov-18,Dry,Kptema,8,971,8.27375,11.07435,-11.07435,Rattus,Mastomys,Mastomys natalensis,F,Adult,100.5,355,184,24,32,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9-Nov-18,Dry,Kptema,34,904,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,M,Juvenile,15.6,193,96,16,24,NA,NA,NA,NA,FALSE,0,2.662465902,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,9-Nov-18,Dry,Kptema,29,898,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,M,Sub_adult,27.4,235,121,17,25,NA,NA,NA,NA,FALSE,0,6.350240051,TRUE,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,9-Nov-18,Dry,Kptema,2,862,8.27375,11.07435,-11.07435,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,21.8,101,126,12,28,NA,NA,NA,NA,TRUE,5,4.753006052,FALSE,20.32359484,FALSE,FALSE,NA,NA,NA,FALSE,7.95373975,1.199672629,FALSE,29.61902363,1.400201401,FALSE,12.17184552,3.219737799,NA,NA,NA,FALSE
24,9-Nov-18,Dry,Kptema,34,908,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Adult,54.3,301,155,21,28,FALSE,NA,NA,FALSE,FALSE,0,1.329477682,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,9-Nov-18,Dry,Kptema,3,226,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,M,Juvenile,21.9,238,123,17,24,NA,NA,NA,NA,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,9-Nov-18,Dry,Kptema,11,71,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Juvenile,16.7,205,104,17,23,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27,9-Nov-18,Dry,Kptema,15,17,8.27375,11.07435,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,M,Adult,53.2,204,98,17,23,NA,NA,NA,NA,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,9-Nov-18,Dry,Kptema,43,1019,8.27375,11.07435,-11.08528333,Rattus,Rattus,Rattus rattus,M,Adult,48.8,279,143,22,28,NA,NA,NA,NA,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,9-Nov-18,Dry,Kptema,22,13,8.27375,11.07435,-11.08528333,Rattus,Rattus,Rattus rattus,M,Adult,119.8,310,184,24,34,NA,NA,NA,NA,FALSE,0,9.487337274,TRUE,NA,FALSE,TRUE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
30,10-Nov-18,Dry,Gouma,1,930,8.2869,11.06648333,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,M,Adult,78.4,284,123,18,24,NA,NA,NA,NA,FALSE,0,NA,FALSE,367.2341016,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,10-Nov-18,Dry,Gouma,15,924,8.2869,11.06648333,-11.06648333,Mastomys,NA,NA,F,Adult,55.5,258,114,18,24,FALSE,7,4,TRUE,FALSE,0,12.614284,FALSE,17.46547079,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,10-Nov-18,Dry,Gouma,18,437,8.2869,11.06648333,-11.06648333,Praomys,Praomys,Praomys rostratus,F,Adult,42.4,268,134,19,25,FALSE,NA,NA,FALSE,FALSE,0,7.482376715,FALSE,18.18048757,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,10-Nov-18,Dry,Gouma,1,899,8.2869,11.06648333,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,F,Juvenile,16.7,185,88,15,22,FALSE,NA,NA,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2.254352472,0.213145772,FALSE,40.41722895,5.007861336,FALSE,7.570680871,2.125702889,FALSE,0,0,FALSE
34,10-Nov-18,Dry,Gouma,14,862,8.2869,11.06648333,-11.06648333,Rattus,Rattus,Rattus rattus,F,Adult,75.3,304,182,19,24,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,10-Nov-18,Dry,Gouma,3,913,8.2869,11.06648333,-11.06648333,Praomys,Praomys,Praomys rostratus,F,Adult,40.3,259,131,19,25,FALSE,NA,NA,FALSE,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2.135033089,0.987856149,FALSE,31.75250771,6.440456017,FALSE,20.43233439,2.854709257,FALSE,0.622283487,0,FALSE
36,10-Nov-18,Dry,Gouma,1,808,8.2869,11.06648333,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,15.3,169,76,16,21,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,11-Nov-18,Dry,Gouma,2,958,8.2869,11.06648333,-11.06648333,Rattus,Rattus,Rattus rattus,M,Adult,91.4,305,182,23,33,NA,NA,NA,NA,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,11-Nov-18,Dry,Gouma,12,915,8.2869,11.06648333,-11.06648333,Praomys,Praomys,Praomys rostratus,F,Adult,47.7,253,145,17,22,FALSE,NA,NA,FALSE,FALSE,0,19.69384135,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
39,11-Nov-18,Dry,Gouma,9,870,8.2869,11.06648333,-11.06648333,Praomys,Praomys,Praomys rostratus,F,Adult,43.2,279,141,22,23,FALSE,NA,NA,FALSE,FALSE,0,11.44728683,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,11-Nov-18,Dry,Gouma,15,440,8.2869,11.06648333,-11.06648333,Rattus,Rattus,Rattus rattus,F,Sub_adult,33.4,274,141,18,31,FALSE,NA,NA,FALSE,FALSE,0,3.781561564,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,11-Nov-18,Dry,Gouma,1,930,8.2869,11.06648333,-11.06648333,Rattus,Rattus,Rattus rattus,F,Sub_adult,32.7,173,118,16,7,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,11-Nov-18,Dry,Gouma,15,1019,8.2869,11.06648333,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,16.6,171,76,13,22,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,11-Nov-18,Dry,Gouma,1,883,8.2869,11.06648333,-11.06648333,Mastomys,Mastomys,Mastomys natalensis,F,Adult,42.1,263,114,18,24,FALSE,NA,NA,FALSE,FALSE,0,27.95912155,FALSE,7.884218561,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
