U_mL,Log_Conc_U_mL,Mean_OD
NA,NA,0.053
NA,NA,0.061
NA,NA,0.049
NA,NA,0.0595
NA,NA,0.0535
0.05444780458893235,-1.26401962691159,0.072
0.14820113526425546,-0.829148469520569,0.095
NA,NA,0.0555
0.043065845211087174,-1.36586702489251,0.069
NA,NA,0.056
NA,NA,0.051
NA,NA,0.049
NA,NA,0.052
NA,NA,0.051
NA,NA,0.063
NA,NA,0.059
